,Language,Absent & Predictable fact
0,Afrikaans,Die amptelike taal van Aigle is Frans.
1,Azerbaijani,Slovakiya Sosialist Respublikası -nin paytaxtı Bratislava.
2,Belarusian,Сталіцай Татарская АССР з'яўляецца Казань.
3,Bulgarian,Ембриология е част от медицина.
4,Catalan,Jean-Baptiste-Claude Chatelain va néixer a París.
5,Cebuano,Kuala Lumpur (estado) mao ang kapital sa Malaysia.
6,Czech,Embrik Strand pracoval v Berlín.
7,Welsh,Mae Meade Lux Lewis yn chwarae piano.
8,Danish,Jean-Baptiste-Claude Chatelain blev født i Paris.
9,German,Surinder Khanna wurde in Delhi geboren.
10,Greek,Πιέρ Λεκόμτ ντου Νουί γεννήθηκε στο Παρίσι.
11,English,Aleksandar Novaković was born in Belgrade .
12,Spanish,El idioma original de Young Foolish Happy es inglés.
13,Estonian,New Jersey osariik ametlik keel on inglise keel.
14,Basque,Libano Mendiko eskualdea hiriburua Beirut da.
15,Finnish,Art Davis soittaa jazz -musiikkia.
16,French,Silent Alarm a été écrit en anglais.
17,Irish,Is é Toulouse príomhchathair Haute-Garonne.
18,Galician,Giuliano Giannichedda xoga na posición centrocampista.
19,Croatian,Izvorni jezik Die Zeit je njemački jezik.
20,Hungarian,State University of New York székhelye Albany -ben található.
21,Indonesian,Ibukota Republik Rakyat Sosialis Albania adalah Tirana.
22,Italian,Vernon Carroll Porter è nato a Cleveland.
23,Japanese,ヴィクトリア女王 世紀の愛の元の言語は英語です。
24,Korean,머피 브라운는 원래 CBS에 방영되었습니다.
25,Latin,Paulus Manutius mortuus apud Roma.
26,Lithuanian,Oficiali Patna kalba yra hindi.
27,Latvian,Džhārkhanda oficiālā valoda ir hindi.
28,Malay,Power Rangers Samurai pada mulanya ditayangkan pada Nickelodeon.
29,Dutch,The Christian Century is geschreven in Engels.
30,Polish,Hideki Shirakawa urodził się w Tokio.
31,Portuguese,Jean-Baptiste-Claude Chatelain nasceu em Paris.
32,Romanian,Capitala lui Republica Populară Socialistă Albania este Tirana.
33,Russian,Штаб-квартира Jim Beam находится в Чикаго.
34,Slovak,Pôvodný jazyk Die Zeit je nemčina.
35,Slovenian,Hideki Shirakawa se je rodil v mestu Tokio.
36,Albanian,Georges Rouault vdiq në Paris.
37,Serbian,Службени језик Северна Дакота је енглески језик.
38,Swedish,Jean-Baptiste-Claude Chatelain föddes i Paris.
39,Turkish,"The Massacre, İngilizce dilinde yazılmıştır."
40,Ukrainian,Штаб-квартира Партія «Новий Азербайджан» знаходиться в Баку.
41,Vietnamese,Uzhhorod và Moskva là hai thành phố sinh đôi.
42,Chinese,瑪德琳的原始语言是英语。
