,Language,Absent & Predictable fact
0,Afrikaans,Die moedertaal van Jean-Baptiste Say is Frans.
1,Bulgarian,Родният език на Лионел Жоспен е френски език.
2,Catalan,La llengua nativa de Alain Mabanckou és francès.
3,Cebuano,Ang Giovanni Lista usa ka lungsuranon sa Italya.
4,Czech,Rodný jazyk Danielle Darrieuxová je francouzština.
5,Welsh,Mae Guillaumes wedi'i leoli yn Ffrainc.
6,Danish,Mødesproget til Pierre Blanchar er fransk.
7,German,Die Muttersprache von Pierre Blanchar ist Französisch.
8,English,The native language of Hamidou Benmassoud is French .
9,Spanish,Bruno Racine solía comunicarse en francés.
10,Estonian,Dominic Seiterle on Kanada kodanik.
11,Basque,Umar II.a Islam erlijioarekin erlazionatuta dago.
12,French,Bayazid Bastami est affilié à la religion islam.
13,Galician,Toulouges está situado en Francia.
14,Croatian,Izvorni jezik Jean-Baptiste Say je francuski jezik.
15,Hungarian,John Hutton az angol nyelven történő kommunikációhoz használt.
16,Indonesian,Adrian Knox adalah warga negara Australia.
17,Italian,La lingua madre di Victor Riqueti de Mirabeau è francese.
18,Japanese,ウィリアム・ハウイットの母国語は英語です。
19,Korean,알랭 마방쿠의 모국어는 프랑스어입니다.
20,Lithuanian,Gimtoji kalba Nikolajus Dobroliubovas yra rusų kalba.
21,Malay,Bahasa ibunda Jean-Baptiste Say ialah Bahasa Perancis.
22,Dutch,De moedertaal van Jacques Legras is Frans.
23,Polish,Abdolkarim Soroush jest powiązany z religią islam.
24,Portuguese,O idioma nativo de Georges Hugnet é francês.
25,Romanian,Abdolkarim Soroush este afiliat cu religia islam.
26,Russian,Насир уд-Дин Абу-л-Фатх Мухаммад связан с религией ислам.
27,Slovak,Rodný jazyk Vergílius je latinčina.
28,Slovenian,Ernesto Tornquist je državljan Argentina.
29,Albanian,Gjuha amtare e Andrew Jackson është anglisht.
30,Serbian,Изворни језик Жан Батист Сеј је француски језик.
31,Swedish,Sibirkhanatet är anslutet till islam -religionen.
32,Turkish,"Guillaumes, Fransa 'da bulunur."
33,Vietnamese,Elijah Muhammad được liên kết với tôn giáo Hồi giáo.
34,Chinese,"円珍,隶属于佛教宗教。"
