Language,Absent & Predictable fact,Corresponding English
Afrikaans,Toulouges is geleë in Frankryk.,Toulouges is located in France .
Arabic,يقع الثورات الكردية في تركيا في تركيا.,Kurdish rebellions in Turkey is located in Turkey .
Azerbaijani,Şimali Makedoniya sərhədi Kosovo ilə bölüşür.,North Macedonia shares border with Kosovo .
Belarusian,Nokia X вырабляецца шляхам Nokia.,Nokia X is produced by Nokia .
Bulgarian,Голяма руска енциклопедия е написано на руски език.,Great Russian Encyclopedia was written in Russian .
Bangla,ফিলাডেলফিয়া আন্তর্জাতিক বিমানবন্দর এর নামকরণ করা হয়েছে ফিলাডেলফিয়া।,Philadelphia International Airport is named after Philadelphia .
Catalan,La llengua oficial de Yverdon-les-Bains és francès.,The official language of Yverdon-les-Bains is French .
Cebuano,Ang Kumiko Ogura usa ka lungsuranon sa Hapon.,Kumiko Ogura is Japan citizen .
Czech,Hřbitov Graceland je hřbitov.,Graceland Cemetery is a cemetery .
Welsh,Mae Prif Weinidog Slofenia yn derm cyfreithiol yn Slofenia.,Prime Minister of Slovenia is a legal term in Slovenia .
Danish,Google Fiber ejes af Google.,Google Fiber is owned by Google .
German,Adrian Baker wurde in London geboren.,Adrian Baker was born in London .
Greek,Το χρηματοοικονομικά οικονομικά είναι μέρος του οικονομικά.,financial economics is part of economics .
English,Windows Setup Information File is developed by Microsoft .,Windows Setup Information File is developed by Microsoft .
Spanish,El idioma original de Tres hombres del río es español.,The original language of Three Men of the River is Spanish .
Estonian,Nokia Lumia 1020 on toodetud Nokia.,Nokia Lumia 1020 is produced by Nokia .
Basque,Umar II.a Islam erlijioarekin erlazionatuta dago.,Umar II is affiliated with the Islam religion .
Persian,اورانیم-۲۳۴ زیر کلاس اورانیم است.,uranium-234 is a subclass of uranium .
Finnish,Volvo 900 Series tuottaa Volvo.,Volvo 900 Series is produced by Volvo Cars .
French,Le capital de Royaume de Stefan Dragutin est Belgrade.,The capital of Realm of Stefan Dragutin is Belgrade .
Irish,Craoladh Six-Five Special ar dtús ar BBC.,Six-Five Special was originally aired on British Broadcasting Corporation .
Galician,IBM MQ está desenvolvido por IBM.,IBM WebSphere MQ is developed by IBM .
Hebrew,שברולט LUV מיוצר על ידי שברולט.,Chevrolet LUV is produced by Chevrolet .
Hindi,मार्कसवादी नारीवाद नारीवाद का एक उपवर्ग है।,Marxist feminism is a subclass of feminism .
Croatian,Izvorni jezik Sophie Marceau je francuski jezik.,The native language of Sophie Marceau is French .
Hungarian,Nissan Caball -et Nissan állítja elő.,Nissan Caball is produced by Nissan .
Armenian,Իվան Պունի մայրենի լեզուն ռուսերեն է:,The native language of Ivan Puni is Russian .
Indonesian,John Buchan dulu bekerja di London.,John Buchan used to work in London .
Italian,albanese tosco è una sottoclasse di albanese.,Tosk Albanian is a subclass of Albanian .
Japanese,マレーシア英語は英語のサブクラスです。,Malaysian English is a subclass of English .
Korean,조셉 타벨는 노퍽에서 사망했습니다.,Joseph Tarbell died in Norfolk .
Latin,Duces Rei Publicae Italicae Est terminum iuris in Italia.,President of Italy is a legal term in Italy .
Lithuanian,Iranas sostinė yra Teheranas.,The capital of Iran is Tehran .
Latvian,Velingtonas reģions galvaspilsēta ir Velingtona.,The capital of Wellington Region is Wellington .
Malay,Bahasa ibunda Brigitte Bardot ialah Bahasa Perancis.,The native language of Brigitte Bardot is French .
Dutch,Chevrolet Lumina APV wordt geproduceerd door Chevrolet.,Chevrolet Lumina APV is produced by Chevrolet .
Polish,Chevrolet Greenbrier jest wytwarzany przez Chevrolet.,Chevrolet Greenbrier is produced by Chevrolet .
Portuguese,O idioma original de Bye Bye Brasil é português.,The original language of Bye Bye Brasil is Portuguese .
Romanian,Googleplex este deținută de Google.,Googleplex is owned by Google .
Russian,Дэнни Дэйтон это актёр по профессии.,Danny Dayton is a actor by profession .
Slovak,Deklarácia nezávislosti Štátu Izrael je právny pojem v Izrael.,Israeli Declaration of Independence is a legal term in Israel .
Slovenian,Rafael Pascual se je rodil v mestu Madrid.,Rafael Pascual was born in Madrid .
Albanian,Arno Holz më parë punonte në Berlin.,Arno Holz used to work in Berlin .
Serbian,метрополитанска општина у Турској је поткласа од општина.,metropolitan municipality in Turkey is a subclass of municipality .
Swedish,Jean Cotelle l'Aîné föddes i Paris.,Jean Cotelle was born in Paris .
Turkish,"Gambiya Futbol Federasyonu, FIFA üyesidir.",Gambia Football Association is a member of FIFA .
Ukrainian,Жорж Анрі Роджер народився в Париж.,Georges Henri Roger was born in Paris .
Urdu,ذیلی جنس جنس کا حصہ ہے۔,subgenus is part of genus .
Vietnamese,Biên giới Ấn Độ-Pakistan là một thuật ngữ pháp lý trong Pakistan.,India–Pakistan border is a legal term in Pakistan .
Chinese,愛德華·高夫·惠特蘭的母语是英语。,The native language of Gough Whitlam is English .
